Content,proba,result,CurElementMark,SpecialSymbolsCount,WordsCount,SymbolCount,Lowercase,Uppercase,LastSymbolPd,FirstKeyWord,FullBold,FullItalic,Alignment,KeepLinesTogether,KeepWithNext,LeftIndentation,LineSpacing,NoSpaceBetweenParagraphsOfSameStyle,OutlineLevel,PageBreakBefore,RightIndentation,SpaceAfter,SpaceBefore,SpecialIndentation,FirstKeyWord_missed,LastSymbolPd_missed
Введение,0.958783518934199,*,b1,0,1.0,8.0,False,False,.,listLevel1,True,False,Center,True,False,0,2.5,True,Level1,True,0,0.0,0.0,-35.45,True,True
ВВЕДЕНИЕ,0.9351578726309246,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.15,False,Level1,False,0,0.0,12.0,0,True,True
ЗАКЛЮЧЕНИЕ,0.9351578726309246,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.15,False,Level1,False,0,0.0,12.0,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9104614103072018,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.15,False,Level1,False,0,0.0,12.0,0,True,True
РЕФЕРАТ,0.9416431652848694,*,b1,0,1.0,7.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0.0,0.0,0,True,True
ВВЕДЕНИЕ,0.9492369560712258,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,True,0,0.0,0.0,0,True,True
ЗАКЛЮЧЕНИЕ,0.9492369560712258,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,True,0,0.0,0.0,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9216727868314556,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,True,0,0.0,0.0,0,True,True
ВВЕДЕНИЕ,0.939199128006846,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,6,0,True,True
ЗАКЛЮЧЕНИЕ,0.939199128006846,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,6,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9150208479962767,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,6,0,True,True
Содержание,0.9185806158930588,*,b1,0,1.0,10.0,False,False,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0.0,0,0,True,True
СОДЕРЖАНИЕ,0.952337412560454,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,24,0,True,True
ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ,0.9200323141519822,*,b1,0,3.0,21.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,24,0,True,True
ВВЕДЕНИЕ,0.952337412560454,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,24,0,True,True
ЗАКЛЮЧЕНИЕ,0.9556338803128631,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,0,0,True,True
ПРИЛОЖЕНИЕ А,0.938032881549744,*,b1,0,2.0,12.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,24,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9290677214478373,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,0,0,True,True
разработка его программы,0.9296589767009567,*,b1,0,3.0,24.0,False,True,.,listLevel1,True,False,Justify,False,False,0,1.15,False,BodyText,False,0,0,0,0,True,True
РЕФЕРАТ,0.9238316025677029,*,b1,0,1.0,7.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,3.15,9.9,24,-35.45,True,True
ВВЕДЕНИЕ,0.9141359083621974,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,2,False,Level1,False,3.15,6,24,-35.45,True,True
ЗАКЛЮЧЕНИЕ,0.9683334485144052,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6,24,-35.45,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9069418196065732,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,1.85,1.5,False,Level1,False,0,24.9,24,-35.45,True,True
"о практике производственной, научно-исследовательской",0.9708405810933842,*,b1,2,4.0,53.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.45,True,True
